Section Name,Route Distance,Distance,Completed?,Notes
"",210,4.93202,FALSE,""
"",211,5.93202,FALSE,""
"",212,6.93202,FALSE,""
"",213,7.93202,FALSE,""
"",214,8.93202,FALSE,""
"",215,9.93202,FALSE,""
"",216,10.93202,FALSE,""
"",217,11.93202,FALSE,""
"",218,12.93202,FALSE,""
"",219,13.93202,FALSE,""
"",220,14.93202,FALSE,""
"",221,15.93202,FALSE,""
"",222,16.93202,FALSE,""
"",223,17.93202,FALSE,""
"",224,18.93202,FALSE,""
"",225,19.93202,FALSE,""
"",226,20.93202,FALSE,""
"",227,21.93202,FALSE,""
"",228,22.93202,FALSE,""
"",229,23.93202,FALSE,""
Stone Store  to Waitangi Bridge ,229.98558,20 km,FALSE,""
"",230,0.01442,FALSE,""
"",231,1.01442,FALSE,""
"",232,2.01442,FALSE,""
"",233,3.01442,FALSE,""
"",234,4.01442,FALSE,""
"",235,5.01442,FALSE,""
"",236,6.01442,FALSE,""
"",237,7.01442,FALSE,""
"",238,8.01442,FALSE,""
"",239,9.01442,FALSE,""
"",240,10.01442,FALSE,""
"",241,11.01442,FALSE,""
"",242,12.01442,FALSE,""
"",243,13.01442,FALSE,""
"",244,14.01442,FALSE,""
"",245,15.01442,FALSE,""
"",246,16.01442,FALSE,""
"",247,17.01442,FALSE,""
"",248,18.01442,FALSE,""
"",249,19.01442,FALSE,""
"",250,20.01442,FALSE,""
Waitangi Bridge  to Opua Wharf ,250.1333,9 km,FALSE,""
"",251,0.8667,FALSE,""
"",252,1.8667,FALSE,""
"",253,2.8667,FALSE,""
"",254,3.8667,FALSE,""
"",255,4.8667,FALSE,""
"",256,5.8667,FALSE,""
"",257,6.8667,FALSE,""
"",258,7.8667,FALSE,""
"",259,8.8667,FALSE,""
Opua Wharf  to Waikare ,259.09708,11 km,FALSE,""
"",260,0.90292,FALSE,""
"",261,1.90292,FALSE,""
"",262,2.90292,FALSE,""
"",263,3.90292,FALSE,""
"",264,4.90292,FALSE,""
"",265,5.90292,FALSE,""
"",266,6.90292,FALSE,""
"",267,7.90292,FALSE,""
"",268,8.90292,FALSE,""
"",269,9.90292,FALSE,""
"",270,10.90292,FALSE,""
Waikare  to Waikare ,270.16144,121 km,FALSE,""
"",271,0.83856,FALSE,""
"",272,1.83856,FALSE,""
"",273,2.83856,FALSE,""
"",274,3.83856,FALSE,""
"",275,4.83856,FALSE,""
"",276,5.83856,FALSE,""
"",277,6.83856,FALSE,""
"",278,7.83856,FALSE,""
"",279,8.83856,FALSE,""
"",280,9.83856,FALSE,""
"",281,10.83856,FALSE,""
"",282,11.83856,FALSE,""
"",283,12.83856,FALSE,""
"",284,13.83856,FALSE,""
"",285,14.83856,FALSE,""
"",286,15.83856,FALSE,""
"",287,16.83856,FALSE,""
"",288,17.83856,FALSE,""
"",289,18.83856,FALSE,""
"",290,19.83856,FALSE,""
"",291,20.83856,FALSE,""
"",292,21.83856,FALSE,""
"",293,22.83856,FALSE,""
"",294,23.83856,FALSE,""
"",295,24.83856,FALSE,""
"",296,25.83856,FALSE,""
"",297,26.83856,FALSE,""
"",298,27.83856,FALSE,""
"",299,28.83856,FALSE,""
"",300,29.83856,FALSE,""
"",301,30.83856,FALSE,""
"",302,31.83856,FALSE,""
"",303,32.83856,FALSE,""
"",304,33.83856,FALSE,""
"",305,34.83856,FALSE,""
"",306,35.83856,FALSE,""
"",307,36.83856,FALSE,""
"",308,37.83856,FALSE,""
"",309,38.83856,FALSE,""
"",310,39.83856,FALSE,""
"",311,40.83856,FALSE,""
"",312,41.83856,FALSE,""
"",313,42.83856,FALSE,""
"",314,43.83856,FALSE,""
"",315,44.83856,FALSE,""
"",316,45.83856,FALSE,""
"",317,46.83856,FALSE,""
"",318,47.83856,FALSE,""
"",319,48.83856,FALSE,""
"",320,49.83856,FALSE,""
"",321,50.83856,FALSE,""
"",322,51.83856,FALSE,""
"",323,52.83856,FALSE,""
"",324,53.83856,FALSE,""
"",325,54.83856,FALSE,""
"",326,55.83856,FALSE,""
"",327,56.83856,FALSE,""
"",328,57.83856,FALSE,""
"",329,58.83856,FALSE,""
"",330,59.83856,FALSE,""
"",331,60.83856,FALSE,""
"",332,61.83856,FALSE,""
"",333,62.83856,FALSE,""
"",334,63.83856,FALSE,""
"",335,64.83856,FALSE,""
"",336,65.83856,FALSE,""
"",337,66.83856,FALSE,""
"",338,67.83856,FALSE,""
"",339,68.83856,FALSE,""
"",340,69.83856,FALSE,""
"",341,70.83856,FALSE,""
"",342,71.83856,FALSE,""
"",343,72.83856,FALSE,""
"",344,73.83856,FALSE,""
"",345,74.83856,FALSE,""
"",346,75.83856,FALSE,""
"",347,76.83856,FALSE,""
"",348,77.83856,FALSE,""
"",349,78.83856,FALSE,""
"",350,79.83856,FALSE,""
"",351,80.83856,FALSE,""
"",352,81.83856,FALSE,""
"",353,82.83856,FALSE,""
"",354,83.83856,FALSE,""
"",355,84.83856,FALSE,""
"",356,85.83856,FALSE,""
